tic id,toi,tfopwg disposition,sectors
231663901,101.01,KP,"1,27,67"
149603524,102.01,KP,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68"
336732616,103.01,KP,1
231670397,104.01,KP,"1,27,67"
144065872,105.01,KP,"1,28"
38846515,106.01,KP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69,87,88,89,90,94,95,13625,53"
92352620,107.01,KP,"1,27,68"
289793076,108.01,KP,"1,28,68,92"
29344935,109.01,KP,"1,28,68"
281459670,110.01,KP,"1,2,28,29,68"
355703913,111.01,KP,"1,2,28,68"
388104525,112.01,KP,"1,2,3,4,7,11,27,28,29,30,31,34,37,61,62,63,64,65"
97409519,113.01,KP,1
25155310,114.01,KP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69"
281541555,115.01,KP,"1,2,28,29,68,69"
238176110,116.01,KP,"1,27,28,67,68"
322307342,117.01,KP,"1,2,28,29"
266980320,118.01,CP,"1,28,68"
394137592,120.01,CP,1
231702397,122.01,CP,"1,27,28,67,68"
290131778,123.01,CP,"1,28,68"
52368076,125.01,CP,"1,2,28,68,69"
52368076,125.02,CP,"1,2,28,68,69"
52368076,125.03,CP,"1,2,28,68,69"
70440470,126.01,KP,"1,28,68"
234523599,127.01,CP,"1,2,28,29"
391949880,128.01,CP,"1,8,11,12,13,27,28,31,38,39,61,62,65,66,67,68"
201248411,129.01,CP,"1,2,28,29,68,69"
263003176,130.01,CP,"1,12,13,27,39,66"
89020549,132.01,CP,"1,28,68"
234994474,134.01,CP,"1,28,68"
267263253,135.01,CP,"1,27,28,67,68"
410153553,136.01,CP,"1,27,28,67,68"
62483237,139.01,CP,"1,28,68"
403224672,141.01,CP,"1,27,28,68"
25375553,143.01,KP,"1,28,68"
261136679,144.01,CP,"1,4,8,11,12,13,27,28,31,34,38,39,61,62"
393940766,148.01,CP,"28,68"
271893367,150.01,CP,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,39,61,62"
140691463,157.01,CP,"9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
179317684,163.01,CP,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,68,69"
183120439,169.01,CP,"13,27,28"
29857954,172.01,CP,"1,28"
425997655,174.01,CP,"1,2,3,4,11,29,30,31,34,64,68,69"
425997655,174.02,CP,"1,2,3,4,11,29,30,31,34,64,68"
425997655,174.03,CP,"1,2,3,4,11,29,30,31,34,64,68,69"
425997655,174.04,CP,"1,2,3,4,11,29,30,31,34,64,68,69"
425997655,174.05,CP,"1,2,3,4,11,29,30,31,34,64,68,69"
307210830,175.01,CP,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87"
307210830,175.02,CP,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63"
307210830,175.03,CP,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69"
262530407,177.01,CP,"2,3,29,69"
251848941,178.01,CP,"2,29,69"
251848941,178.02,CP,2
251848941,178.03,CP,"2,29,69"
251848941,178.04,KP,"2,29"
251848941,178.05,KP,"2,29,69"
207141131,179.01,CP,"2,3,29,30"
76923707,181.01,CP,"2,29,69"
100100827,185.01,KP,"2,3,29,30,69"
279741379,186.01,CP,"1,2,3,4,28,29,30,34,61,64,68,69"
279741379,186.02,CP,"1,2,3,4,28,29,30,34,61,64,68,69"
166739520,190.01,KP,"2,3,29,30,69"
183532609,191.01,KP,"2,29,69"
183537452,192.01,KP,"2,29,69"
183985250,193.01,CP,"2,29,69"
211438925,194.01,KP,"2,29,69"
230982885,195.01,KP,"2,29,69"
441462736,197.01,CP,"2,29"
12421862,198.01,CP,"2,29,69"
309792357,199.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,29,30,31,32,33,34,35,36,37,39,61,62,63,64,66,67,68,69"
410214986,200.01,CP,"1,27,28,67,68"
350618622,201.01,CP,"1,2,3,4,5,6,7,8,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,64,65"
55650590,206.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,65"
55652896,216.01,CP,"1,2,3,4,5,6,7,8,9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
55652896,216.02,CP,"1,2,3,4,5,6,7,8,9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39"
150098860,220.01,CP,"1,2,4,5,6,7,8,9,10,11,12,27,28,29,30,31,32,34,35,36,37,38,39,61,62,63,65,66,68,69,87,88,89,90,93,95,96,97"
77044471,228.01,KP,"2,29,69"
120610833,229.01,KP,"2,29,69"
204376737,231.01,KP,"2,29,69"
402026209,232.01,KP,"2,28,29,69"
305048087,237.01,CP,"2,29,69"
9006668,238.01,CP,"2,29,69"
9725627,239.01,KP,"2,29,42,69,70"
77031414,241.01,KP,"2,29"
118327550,244.01,CP,"2,29,69"
158623531,246.01,KP,"2,3,29"
160148385,247.01,KP,"2,29,69"
184240683,250.01,KP,"2,29,69"
224225541,251.01,CP,"2,29,69"
204317710,255.01,KP,"2,29"
92226327,256.01,KP,"3,30"
92226327,256.02,KP,"3,30"
200723869,257.01,CP,"3,4,30"
12862099,259.01,KP,3
37749396,260.01,CP,"3,42,70"
63898957,261.01,CP,"3,30"
63898957,261.02,CP,3
70513361,262.01,CP,"3,30"
120916706,263.01,CP,"3,30"
122612091,264.01,KP,"3,4,30,31"
159951311,265.01,KP,"3,4,30,31"
164767175,266.01,CP,"3,30"
164767175,266.02,CP,3
166836920,267.01,KP,"3,29,30,69"
220479565,269.01,CP,"3,4,5,6,10,13,30,31,32,33,36,63,64,66,67"
259377017,270.01,CP,"3,4,5,30,32"
259377017,270.02,CP,"3,4,5,30,32"
259377017,270.03,CP,"3,4,5,30,32"
268766053,272.01,KP,"3,30"
439456714,277.01,CP,"3,30"
29781292,282.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65"
29781292,282.03,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65"
29781292,282.04,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
382626661,283.01,CP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,67,68"
150030205,286.01,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68"
150030205,286.02,CP,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
188570092,294.01,CP,"2,42"
327952677,295.01,KP,"2,29,69,70"
145750719,303.01,KP,"2,29,42"
114749636,306.01,KP,"2,29,69"
169765334,329.01,CP,"29,42,69,70"
139285832,332.01,CP,"1,2,28"
224245334,333.01,CP,"29,69"
116156517,338.01,KP,"2,29"
228381868,351.01,KP,"29,69"
422655579,388.01,KP,"4,42,43,70"
382391899,391.01,KP,"4,31"
178155732,396.01,CP,"4,30,31"
178155732,396.02,CP,"3,4,30,31"
178155732,396.03,CP,"4,30,31"
1129033,398.01,KP,"4,31"
35857242,400.01,KP,"4,31"
120896927,402.01,CP,"3,4,30"
120896927,402.02,CP,"3,4,30"
257567854,403.01,KP,4
166833457,404.01,KP,"4,31"
153065527,406.01,CP,"3,4,30,31"
153065527,406.02,CP,"3,4,30,31"
100990000,411.01,CP,"3,4,30,31"
100990000,411.02,CP,"3,4,30,31"
170634116,413.01,KP,"4,5,31,32"
152476657,415.01,KP,"4,5,30,31"
178284730,418.01,KP,"4,5,31"
94986319,421.01,CP,"5,6,32"
94986319,421.02,CP,"5,6,32"
43647325,423.01,KP,"5,32"
31374837,431.01,CP,"5,6,32"
31374837,431.02,CP,"5,6,32"
78055054,434.01,KP,"5,6,32"
32499655,437.01,KP,"5,6,32,33"
13021029,439.01,KP,"5,32"
70899085,442.01,CP,"5,32"
117979897,443.01,KP,"5,32"
179034327,444.01,CP,"4,5,31,32"
1528696,448.01,CP,"5,32"
139528693,449.01,KP,"5,31,32"
257605131,451.01,CP,"4,5,31"
257605131,451.02,CP,"4,5,31"
257605131,451.03,CP,"4,5,31"
139733308,452.01,KP,"5,32"
452808876,453.01,KP,5
98796344,455.01,CP,"4,31"
4646810,461.01,CP,"4,31"
270380593,465.01,KP,"4,31,42,43,70,71"
4616072,466.01,KP,"6,7,33"
33521996,468.01,KP,"6,32,33"
33692729,469.01,CP,"6,33"
37770169,470.01,CP,"6,33"
47911178,471.01,KP,"6,33"
52640302,473.01,KP,"6,7,33,34"
59843967,474.01,KP,"6,33"
170102285,477.01,KP,"6,34,61"
306362738,479.01,KP,"6,33"
317548889,480.01,CP,"6,33"
339672028,481.01,CP,"3,6,7,9,10,13,27,30,33,34,35,36,37,61,62,63,67,68,69"
393414358,483.01,KP,"6,7,32,33"
260708537,486.01,CP,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89"
452866790,488.01,CP,"7,34,61"
455096220,489.01,KP,"7,34"
455135327,490.01,KP,"7,34,61"
468987719,491.01,KP,"7,34,44,45,46,61,72"
17746821,492.01,KP,"7,34,44,45,46,71,72"
22529346,495.01,KP,"7,33,34,61"
134200185,500.01,CP,"6,7,8,33,34,35,61"
134537478,501.01,KP,"7,33,34,61"
186812530,503.01,CP,"7,34,44,45,46,71"
268644785,505.01,KP,"7,9,34,35,36"
425206121,508.01,KP,"7,33"
453211454,509.01,CP,"7,34,46,71,72"
453211454,509.02,CP,"7,34,46,71,72"
440777904,511.01,KP,"7,33,44,45,46,71,72"
119292328,512.01,CP,"6,7,33"
366576758,514.01,KP,"7,44,45,46,72"
366622912,515.01,CP,"7,34,44,45,46,72"
218795833,519.01,CP,"7,34,61"
27649847,521.01,CP,"7,34,44,45,46,71,72"
387690507,530.01,CP,"6,33,44,45,71,72"
144700903,532.01,CP,"6,71,72"
281909674,534.01,KP,"6,33"
280210963,535.01,KP,"6,33"
234825296,536.01,KP,"6,33"
234112540,537.01,KP,"6,33"
200322593,540.01,CP,"4,5,6,31,32"
50618703,544.01,CP,"6,32"
37168957,545.01,KP,"6,33"
36440357,546.01,KP,"6,33"
36352297,547.01,KP,"6,33"
42821097,548.01,KP,"6,33"
192826603,551.01,KP,"5,6,32,33"
44737596,552.01,CP,"4,5,31"
407966340,554.01,CP,"5,32,43,44,70,71"
407966340,554.02,CP,"5,32,43,44,70,71"
170849515,555.01,CP,"5,31,32"
207110080,558.01,CP,"2,3,29,30"
209459275,559.01,CP,"4,31"
101011575,560.01,CP,"8,34,61"
101011575,560.02,CP,"8,34,61"
377064495,561.01,CP,"8,35,45,46,72"
377064495,561.02,CP,"8,35,45,46,72"
377064495,561.03,CP,"8,35,45,46,72"
377064495,561.04,CP,"8,35,45,46,72"
413248763,562.01,CP,"8,35,62"
1003831,564.01,CP,"8,34,61"
13349647,567.01,KP,"8,34,61"
123482865,569.01,CP,"7,8,34,35"
270468559,571.01,KP,"8,34,44,45,46,61,72"
315002523,574.01,KP,"8,9,35,62"
408310006,576.01,CP,"8,35,62"
423275733,578.01,KP,"8,35"
262746281,603.01,CP,"8,35,45,46,61,72"
190496853,615.01,CP,"8,9,35,62"
296739893,620.01,CP,"8,35,62"
83092282,622.01,CP,"8,9,34,35,61,62"
399870368,624.01,CP,"5,32,71"
379929661,625.01,CP,"7,34,61"
65412605,626.01,CP,"7,33,34,61"
281408474,628.01,CP,6
293853437,629.01,CP,"6,33"
147977348,640.01,CP,"6,7,33,34"
22221375,652.01,CP,"9,35,62"
35009898,654.01,CP,"9,36,45,46,62,72"
35516889,655.01,KP,"9,36,62,63"
36734222,656.01,KP,"9,35,62"
48103627,657.01,CP,"9,35,36"
53189332,660.01,KP,"9,36,45,46,72"
53735810,661.01,KP,"9,36,63"
54962195,663.01,CP,"9,35,62"
54962195,663.02,CP,"9,35,62"
54962195,663.03,CP,"9,35,62"
355636844,146.01,FP,"1,2,28"
220435095,147.01,FP,"13,27,28,29,30,32,33,34,35,36,37,38,39,62,63,64,65,67,68,69"
382302241,151.01,FP,1
403287048,152.01,FP,1
389525208,154.01,FP,"1,27"
220518305,156.01,FP,"1,3,28,29,30"
403136413,158.01,FP,1
253917293,160.01,FP,1
79395355,164.01,FP,1
350743714,165.01,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89"
309257814,171.02,FP,"10,28,31,35,36,37,38,61,62,63,64"
272086159,176.01,FP,"2,3,4,5,6,12"
183979262,183.01,FP,"1,2,27,28"
300871545,184.01,FP,"1,2,3,4,5,6,7,8,9,10,11,12,13,61,62,63,65"
278866211,189.01,FP,"1,2,3,5,6,8,9,11,12,13,28,29,30,32,33,34,35,36,38,39,61,62,65,66,67,68,69,87,88,89,93,94"
260271203,207.01,FP,"1,2,3,4,5,6"
